"company, firm, business","azienda <br />"
"experience","esperienza <br />"
"staff, personnel, employee","personale <br />"
"club","club <br />"
"full","pieno <br />"
"comparison, confrontation","confronto <br />"
"typical, characteristic","tipico <br />"
"kilometer, km","km <br />"
"popular, common, people's","popolare <br />"
"euro","euro <br />"
"to name, to appoint, to nominate","nominare <br />"
"people","popolo <br />"
"to allow, to permit","consentire <br />"
"to characterize, to feature","caratterizzare <br />"
"safe, secure","sicuro <br />"
"to meet, to encounter","incontrare <br />"
"absolute, complete, total","assoluto <br />"
"to abandon, to leave","abbandonare <br />"
"religious","religioso <br />"
"animal","animale <br />"
"meeting, encounter","incontro <br />"
"to interpret, to perform, to play","interpretare <br />"
"to insert, to put in, to include","inserire <br />"
"resource","resource <br />"
"eye","occhio <br />"
"return, comeback","ritorno <br />"
"argument","argument <br />"
"supplied, provided","supplied <br />"
"valid, legitimate","valid <br />"
"to belong, to pertain","appartenere <br />"
"to save, to rescue","salvare <br />"
"environment, surroundings","ambiente <br />"
"to marry, to wed","sposare <br />"
"civil","civile <br />"
"to strike, to hit, to affect","colpire <br />"
"classic","classico <br />"
"to organize, to arrange","organizzare <br />"
"or, that is, i.e.","ovvero <br />"
"to provide, to supply","fornire <br />"
"tool, instrument, device","strumento <br />"
"purpose, aim, goal","scopo <br />"
"rather, quite, fairly","piuttosto <br />"
"gold","oro <br />"
"total, overall","totale <br />"
"they, them","essi <br />"
"proof, evidence, test","prova <br />"
"reference, citation","riferimento <br />"
"station","stazione <br />"
"natural","naturale <br />"
"Germany","Germania <br />"
"night","notte <br />"
"prince","principe <br />"
"above, on top","sopra <br />"
"therefore, so","dunque <br />"
"football, soccer","calcio <br />"
"wave","onda <br />"
"next, upcoming","prossimo <br />"
"fourth, quarter","quarto <br />"
"countryside, campaign","campagna <br />"
"to collect, to gather, to pick up","raccogliere <br />"
"news","notizia <br />"
"royal, real","reale <br />"
"tradition","tradizione <br />"
"though, yet","pur <br />"
"protagonist, main character","protagonista <br />"
"John","John <br />"
"to transform, to change","trasformare <br />"
"theory","teoria <br />"
"operation","operazione <br />"
"to describe","descrivere <br />Posso descrivere il mio nuovo vestito in dettaglio."
"Paul","Paolo <br />Ho incontrato Paolo ieri sera per cena."
"to reveal, to disclose","rivelare <br />Non voglio rivelare la mia fonte."
"to try, to attempt","tentare <br />Voglio tentare di fare il mio miglior lavoro."
"wide, broad, ample","ampio <br />C'è un'ampia selezione di cibo nel menu."
"organization","organizzazione <br />L'organizzazione dell'evento richiede molta pianificazione."
"ability, capacity","capacità <br />La sua capacità di risolvere i problemi è notevole."
"to overcome, to exceed","superare <br />Voglio superare le mie aspettative."
"minute, tiny","minuto <br />Ci sono dettagli minuti che devono essere considerati."
"quality","qualità <br />La qualità del cibo è eccellente."
"to preserve, to conserve","conservare <br />Dobbiamo conservare le risorse naturali per le generazioni future."
"bottom, depth, fund","fondo <br />Ho trovato un po' di soldi nel fondo della borsa."
"episode, installment","puntata <br />Ho visto l'ultima puntata della mia serie TV preferita."
"company, companionship","compagnia <br />Mi piace la compagnia dei miei amici."
"Naples","Napoli <br />Sono andato a Napoli per assaggiare la pizza autentica."
"physical, physicist","fisico <br />Ha una forza fisica notevole."
"guide, driver's license","guida <br />Ho bisogno di una guida per orientarmi nella città."
"past","passato <br />Nel passato, ho lavorato come insegnante."
"to establish, to set up","stabilire <br />Vogliamo stabilire un'azienda sostenibile."
"to drive, to lead","guidare <br />Mi piace guidare la mia macchina sulla strada."
"technique","tecnica <br />La sua tecnica di pittura è incredibile."
"Anthony","Antonio <br />Antonio mi ha dato un buon consiglio."
"to reduce, to lower","ridurre <br />Dobbiamo ridurre l'inquinamento dell'aria."
"property, ownership","proprietà <br />La proprietà è un investimento importante."
"to accept","accettare <br />Ho accettato l'offerta di lavoro."
"energy","energia <br />L'energia rinnovabile è importante per il nostro futuro."
"to tell, to narrate","raccontare <br />Mi piace raccontare storie interessanti."
"content","contenuto <br />Il contenuto del libro è molto utile."
"to include","includere <br />La mia lista della spesa include frutta e verdura fresca."
"average, medium","medio <br />La temperatura media in estate è di 25 gradi."
"to study","studiare <br />Voglio studiare all'estero per ampliare la mia esperienza."
"to study","studiare <br />Studiero' molto stasera per l'esame di domani. (I will study a lot tonight for tomorrow's exam.)"
"around","intorno <br />C'è un parco intorno al mio quartiere. (There is a park around my neighborhood.)"
"to perform, to execute","eseguire <br />Devi eseguire queste istruzioni alla lettera. (You have to execute these instructions to the letter.)"
"door","porta <br />La porta del mio ufficio e' sempre aperta. (The door of my office is always open.)"
"television","TV <br />Guardiamo sempre le notizie alla sera sulla TV. (We always watch the news on TV in the evening.)"
"building, palace","palazzo <br />Il palazzo dove abito ha tre piani. (The building where I live has three floors.)"
"doctor","medico <br />Ho bisogno di andare dal medico per farmi visitare. (I need to go to the doctor to get checked.)"
"agreement","accordo <br />Abbiamo raggiunto un accordo su come procedere. (We reached an agreement on how to proceed.)"
"is, stays","sta <br />Mio fratello sta a Londra per studiare. (My brother is staying in London to study.)"
"or","oppure <br />Puoi scegliere il rosso oppure il verde. (You can choose either red or green.)"
"sector","settore <br />L'azienda si occupa del settore alimentare. (The company works in the food sector.)"
"to quote, to mention","citare <br />Mi ha citato come esempio nella sua presentazione. (He mentioned me as an example in his presentation.)"
"to sell","vendere <br />Ho venduto la mia macchina vecchia. (I sold my old car.)"
"red","rosso <br />Mi piace molto il rosso, è il mio colore preferito. (I really like red, it's my favorite color.)"
"subject","soggetto <br />L'argomento principale della lezione di oggi è il soggetto. (The main subject of today's lesson is the subject.)"
"ranking","classifica <br />La squadra di calcio e' in testa alla classifica. (The soccer team is at the top of the ranking.)"
"trip, travel","viaggio <br />Il mio prossimo viaggio sara' in Giappone. (My next trip will be to Japan.)"
"to help","aiutare <br />Posso aiutarti con il tuo lavoro se hai bisogno. (I can help you with your work if you need.)"
"car","macchina <br />Ho appena comprato una nuova macchina. (I just bought a new car.)"
"to close","chiudere <br />Ricordati di chiudere la finestra quando vai via. (Remember to close the window when you leave.)"
"minor","minore <br />Il figlio minore di mia sorella ha solo tre anni. (My sister's youngest son is only three years old.)"
"to explain","spiegare <br />Puoi spiegarmi di nuovo come funziona questo computer? (Can you explain to me again how this computer works?)"
"director","direttore <br />Il direttore dell'azienda ha convocato una riunione. (The company's director has called a meeting.)"
"nothing","nulla <br />Non c'è nulla da mangiare in frigorifero. (There's nothing to eat in the fridge.)"
"neither, nor","né <br />Non mi piacciono né la pizza né le patatine. (I don't like neither pizza nor chips.)"
"God","Dio <br />Example sentence: Molti credono in Dio. (Many believe in God.)"
"of the","dell' <br />Example sentence: Il canto dell'amore. (The song of love.)"
"personality","personalità <br />Example sentence: La sua personalità è unica. (His/her personality is unique.)"
"to express","esprimere <br />Example sentence: Non so come esprimere la mia gratitudine. (I don't know how to express my gratitude.)"
"letter","lettera <br />Example sentence: Ho ricevuto una lettera da mio cugino. (I received a letter from my cousin.)"
"difficult","difficile <br />Example sentence: Questo problema è molto difficile da risolvere. (This problem is very difficult to solve.)"
"America","America <br />Example sentence: Gli Stati Uniti sono in America. (The United States are in America.)"
"III","III <br />Example sentence: Il re Luigi III governò la Francia dal 879 al 882. (King Louis III ruled France from 879 to 882.)"
"American","statunitense <br />Example sentence: Sono un cittadino statunitense. (I am an American citizen.)"
"question, matter","questione <br />Example sentence: La questione è molto complicata. (The matter is very complicated.)"
"couple, pair","coppia <br />Example sentence: Questa è una coppia felice. (This is a happy couple.)"
"character","carattere <br />Example sentence: Ha un forte carattere. (He/she has a strong character.)"
"Peter","Pietro <br />Example sentence: Pietro è il mio migliore amico. (Peter is my best friend.)"
"to send","inviare <br />Example sentence: Ho inviato il pacco stamattina. (I sent the package this morning.)"
"to conquer","conquistare <br />Example sentence: Alessandro Magno conquistò molti territori. (Alexander the Great conquered many territories.)"
"native, original","originario <br />Example sentence: Sono originario di Roma. (I am a native of Rome.)"
"definitive, final","definitivo <br />Example sentence: La decisione finale spetta al giudice. (The final decision is up to the judge.)"
"active","attivo <br />Example sentence: Sono una persona molto attiva. (I am a very active person.)"
"kingdom, reign","regno <br />Example sentence: Il regno di Giorgio VI durò dal 1936 al 1952. (The reign of George VI lasted from 1936 to 1952.)"
"nature","natura <br />Example sentence: Amo la natura e mi piace camminare nel bosco. (I love nature and I like to walk in the woods.)"
"extreme","estremo <br />Example sentence: Le condizioni meteorologiche sono estreme. (The weather conditions are extreme.)"
"to find again, to recover","ritrovare <br />Example sentence: Ho ritrovato il mio portafoglio. (I found my wallet again.)"
"reason, right","ragione <br />Example sentence: Non vedo la ragione per cui dovremmo andare. (I don't see the reason why we should go.)"
"special","speciale <br />Example sentence: Questo è un evento molto speciale. (This is a very special event.)"
"to avoid","evitare <br />Example sentence: Cerco sempre di evitare la folla. (I always try to avoid crowds.)"
"to conclude, to end","concludere <br />Example sentence: La riunione si concluderà alle 5. (The meeting will end at 5.)"
"opinion, point of view","parere <br />Esempio: Qual è il tuo parere sulla nuova legge?"
"intervention, action","intervento <br />Esempio: L'intervento del medico ha salvato la vita del paziente."
"plot, storyline","trama <br />Esempio: La trama del romanzo è molto avvincente."
