"power, to be able to","potere"
"other, another","altro"
"year","anno"
"and","ed"
"everything, all","tutto"
"first, primary","primo"
"among, between","tra"
"whose, among whom","cui"
"two","due"
"after","dopo"
"part, portion","parte"
"if, whether","se"
"very, a lot, much","molto"
"it, him, the","lo"
"only, alone, solitary","solo"
"there, here, us","ci"
"second, according to","secondo"
"new, fresh","nuovo"
"which, what","quale"
"to have to, must, duty","dovere"
"one","uno"
"some, any","alcuno"
"to say, to tell","dire"
"own, proper, exact","proprio"
"when","quando"
"then, after","poi"
"big, great, large","grande"
"to see, to watch","vedere"
"to give, to offer","dare"
"to find, to discover","trovare"
"time, turn, occasion","volta"
"of it, of them, of that","ne"
"where, to where","dove"
"time, weather","tempo"
"while, whereas","mentre"
"Italian","italiano"
"last, final","ultimo"
"always, forever","sempre"
"name, noun","nome"
"so, such, this way","così"
"city","città"
"Italy","Italia"
"until, till, up to","fino"
"during, for the duration of","durante"
"again, still, yet","ancora"
"group, crowd, band","gruppo"
"story, history","storia"
"to go, to travel, to walk","andare"
"first, before","prima"
"same, oneself","stesso"
"outside, external","esterno"
"every, each","ogni"
"different, various","diverso"
"little, few","poco"
"to want, to wish","volere"
"film, movie","film"
"without","senza"
"the","the"
"life, living","vita"
"three","tre"
"against, opposite, versus","contro"
"to carry, to bring, to take","portare"
"already, yet","già"
"work, opera","opera"
"therefore, so","quindi"
"known, famous, notorious","noto"
"how much, as much as","quanto"
"link, connection, attachment","collegamento"
"point, dot, spot","punto"
"century","secolo"
"case, instance, situation","caso"
"son, child","figlio"
"series, set, sequence","serie"
"day","giorno"
"why, because","perché"
"now, hour","ora"
"way, manner, mode","modo"
"end, finish","fine"
"war, conflict","guerra"
"to take, to get, to catch","prendere"
"him, to him, the","gli"
"you, to you, there","vi"
"the, her, it","la"
"beyond, over, besides","oltre"
"next, subsequent","successivo"
"world, universe","mondo"
"of, from, by","de"
"house, home","casa"
"however, yet, still","però"
"voice, sound, rumor","voce"
"thing, what","cosa"
"me, to me, mine","mi"
"towards, toward, against","verso"
"to succeed, to manage, to be able to","riuscire"
"system, method, arrangement","sistema"
"Saint","San"
"man, human being","uomo"
"family, household","famiglia"
"small, little","piccolo"
"under, below","sotto"
"today","oggi"
"long","lungo"
"inside, interior","interno"
"project","progetto"
"street, by way of","via"
"instead","invece"
"about, approximately","circa"
"between, among","fra"
"to use","usare"
"indeed, actually","infatti"
"person","persona"
"to utilize, to use","utilizzare"
"period, time","periodo"
"to start","iniziare"
"him","lui"
"to remain","rimanere"
"to put, to place","mettere"
"to publish","pubblicare"
"to arrive","arrivare"
"to become","diventare"
"to write","scrivere"
"example","esempio"
"so much, so many","tanto"
"following, consequence","seguito"
"form","forma"
"to know","sapere"
"to call","chiamare"
"to pass, to spend (time)","passare"
"important","importante"
"number","numero"
"moreover, furthermore","inoltre"
"public","pubblico"
"never","mai"
"church","chiesa"
"true, real","vero"
"high, tall","alto"
"national","nazionale"
"to obtain","ottenere"
"who","chi"
"to present, to introduce","presentare"
"them","li"
"political","politico"
"to leave, to let","lasciare"
"particular, specific","particolare"
"unique","unico"
"common, town","comune"
"various","vario"
"together","insieme"
"Rome","Roma"
"main, chief, head","principal"
"present","presente"
"sure, certain","certo"
"title","titolo"
"country","paese"
"to speak, to talk","parlare"
"to be born","nascere"
"either, both, be it","sia"
"to follow, to pursue","seguire"
"to consider","considerare"
"season","stagione"
"to treat, to handle","trattare"
"to enter","entrare"
"type, kind","tipo"
"center","centro"
"place, position","posto"
"often","spesso"
"of","of"
"to correlate","correlare"
"success","successo"
"fact, done","fatto"
"to become","divenire"
"cause","causa"
"team","squadra"
"territory","territorio"
"work","lavoro"
"to create","creare"
"to give, to make","rendere"
"our","nostro"
"to win","vincere"
"to depart, to start","partire"
"to reach","raggiungere"
"less","meno"
"base, foundation","base"
"state","stato"
"character","personaggio"
"term, deadline","termine"
"such, of such sort","tale"
"study, workroom","studio"
"to decide","decidere"
"almost, nearly","quasi"
"mine","mio"
"especially, above all","soprattutto"
"death","morte"
"moment","momento"
"month","mese"
"version","versione"
"to realize, to achieve","realizzare"
"thanks","grazie"
"to know, to be familiar with","conoscere"
"to live","vivere"
"young","giovane"
"to search, to seek","cercare"
"ancient","antico"
"line","linea"
"historical","storico"
"that","ciò"
"respect","rispetto"
"well","ben"
"beginning","inizio"
"to return","tornare"
"province","provincia"
"area, zone","zona"
"album","album"
"possible","possibile"
"to continue","continuare"
"problem","problema"
"boy","ragazzo"
"woman","donna"
"to build","costruire"
"service","servizio"
"the (feminine plural form)","le"
"general","generale"
"near, at","presso"
"to understand","comprendere"
"force, strength","forza"
"then","allora"
"to seem","sembrare"
"here","qui"
"field","campo"
"to think","pensare"
"four","quattro"
"theme","tema"
"to die","morire"
"course","corso"
"major","maggiore"
"to produce","produrre"
"to hold, to keep","tenere"
"activity","attività"
"me","me"
"to allow, to permit","permettere"
"place","luogo"
"numerous","numeroso"
"right","diritto"
"some","qualche"
"however","tuttavia"
"government","governo"
"level","livello"
"same","stessa"
"to ask","chiedere"
"to represent","rappresentare"
"company, society","società"
"to dedicate","dedicare"
"production","produzione"
"to remember","ricordare"
"program","programma"
"I","io"
"to be (staying)","stare"
"September","settembre"
"street","strada"
"anyway, however","comunque"
"third","terzo"
"well, good","bene"
"father","padre"
"means, half","mezzo"
"to participate","partecipare"
"water","acqua"
"French","francese"
"game","gioco"
"to constitute","costituire"
"area","area"
"role","ruolo"
"origin","origine"
"network, net","rete"
"future","avvenire"
"position","posizione"
"to put, to place","porre"
"book","libro"
"this","quest'"
"friend","amico"
"through","attraverso"
"presence","presenza"
"law","legge"
"use","uso"
"genre","genere"
"to lose","perdere"
"degree","grado"
"bibliography","Bibliografia"
"to exist","esistere"
"era, epoch","epoca"
"two, second","II"
"plan, floor","piano"
"strong, loud","forte"
"to go out","uscire"
"German","tedesco"
"final","finale"
"to work","lavorare"
"military","militare"
"structure","struttura"
""
